"CIK","Fund","Manager","Denomination","CIKs","URL"
"0001077428","Texas Capital Bancshares","Rob Holmes","Texas Capital Bancshares Inc/TX","","https://texascapitalbank.com/"
"0001838211","Venator Capital Management","Brandon Osten","Venator Capital Management Ltd.","","https://venator.ca/"
"0001393825","Hudson Bay Capital Management","Sander Gerber","Hudson Bay Capital Management LP","","https://www.hudsonbaycapital.com/"
"0001326389","Polar Asset Management","Bill Peckford","Polar Asset Management Partners Inc.","","https://polaramp.com/"
"0001859388","Franchise","Oleksandr Alieksieienko","Franchise Capital Ltd","","https://franchise-capital.com/"
"0001224962","Perceptive Advisors","Joseph Edelman","Perceptive Advisors LLC","","https://www.perceptivelife.com/"
"0000938592","Moody, Lynn, Lieberson & Walker","Michael Moody & Martin Lynn","Moody Lynn & Lieberson, LLC","","https://moodylynn.com/"
"0001423686","Cadian Capital Management","Eric Bannasch","Cadian Capital Management, LP","","https://www.cadiancap.com/"
"0001747057","D1 Capital Partners","Daniel Sundheim","D1 Capital Partners L.P.","","https://portal.d1capital.com/"
"0001729254","FrontRow Advisors","Michael Reid Vogel","Front Row Advisors LLC","","https://www.frontrowadvisors.com/"
"0001165408","Adage Capital Partners","Robert Atchison & Phillip Gross","Adage Capital Management, L.P.","","https://www.adagecapital.com/"
"0002066260","Bosman Wealth Management","Mike Bosman","Bosman Wealth Management, LLC","","https://bosmanwealth.com/"
"0001353312","Tremblant Capital","Brett Barakett","Tremblant Capital Group","","https://www.tremblantcapital.com/"
"0001547007","Dorsal Capital Management","Ryan Frick","Dorsal Capital Management, LP","","https://www.linkedin.com/company/dorsal-capital-management-llc/"
"0001346824","RA Capital Management","Peter Kolchinsky","RA Capital Management, L.P.","","https://www.racap.com/"
"0001631014","AltaRock Partners","Mark Massey","Altarock Partners LP","","https://www.altarockpartners.com/"
"0002011221","Darden Wealth Group","Andrea Darden","Darden Wealth Group Inc","","https://dardenwealth.com/"
"0001443689","Senator Investment Group","Alex Klabin","Senator Investment Group LP","","https://clients.senatorlp.com/"
"0001740839","Gables Capital Management","Eric McKenna","Gables Capital Management Inc.","","https://www.gablescapital.com/"
"0000872098","Chapin Davis","Michael Hildreth","Chapin Davis, Inc.","","https://chapindavis.com/"
"0001834874","Audent Global Asset Management","Paul Feinstein","Audent Global Asset Management, LLC","","https://www.audentgam.com/"
"0000945631","Eagle Capital Management","Boykin Curry","Eagle Capital Management LLC","","https://www.eaglecap.com/"
"0001479465","Farley Capital","Stephen Farley","Farley Capital L.P.","","https://www.farleycap.com/"
"0001912187","RDST Capital","Brian David Pirie","RDST Capital LLC","","https://readestreet.com/"
"0001633445","Trexquant","Tyger Park","Trexquant Investment LP","","https://trexquant.com/"
"0001510668","Crystal Rock Capital Management","Jay Freedman","Crystal Rock Capital Management","","http://www.crystalrockcap.com/"
"0002042565","WIM","Guy McGlashan","WIM Investment Management Ltd","","https://www.w1m.com/"
"0001584801","YCG Investments","Brian Yacktman","YCG, LLC","","https://ycginvestments.com/"
"0000906304","Royce Investment Partners","Chuck Royce","Royce & Associates LP","","https://www.royceinvest.com/"
"0001421097","Samlyn Capital","Robert Pohly","Samlyn Capital, LLC","","https://www.samlyncapital.com/"
"0001591744","Shellback Capital","Jon Hilsabeck","Shellback Capital, LP","","http://www.shellback.com/"
"0001388838","Dalton Investments","Jamie Rosenwald","Dalton Investments, Inc.","","https://www.daltoninvestments.com/"
"0001410833","Night Owl Capital","John Kim","Night Owl Capital Management, LLC","","https://nightowlcapital.com/"
"0001276470","Corsair Capital Management","Jay Petschek","Corsair Capital Management, L.P.","","https://www.corsaircap.com/"
"0001845012","NewGen Asset Management","David Dattels","NewGen Asset Management Limited","","https://newgenfunds.com/"
"0001572748","Marathon Trading","Peter James Viscardo","Marathon Trading Investment Management LLC","","https://www.linkedin.com/company/marathon-trading/"
"0001362255","Goodnow Investment Group","Peter Gavey","Goodnow Investment Group, LLC","","https://www.goodnow.com/"
"0001614704","RiverPark Capital","Mordecai Alan Schaja","Riverpark Capital Management LLC","","https://riverparkvc.com/"
"0001323645","Capital Fund Management","Marc Potters & Jacques Saulière","Capital Fund Management","","https://www.cfm.com/"
"0001352272","Miura","Francisco Alfaro","Miura Global Management, LLC","","https://miura.partners/en/"
"0001878547","Carmel Capital Management","West Whittaker","Carmel Capital Management L.L.C.","","https://carmelcapital.com/"
"0001438848","GAM Investments","Albert Saporta","GAM Holding AG","","https://www.gam.com/"
"0001291318","Oversea-Chinese Banking Corp","Helen Wong","Oversea-Chinese Banking Corp Ltd","","https://www.ocbc.com/"
"0001055951","OrbiMed","Samuel Isaly","OrbiMed Advisors LLC","","https://www.orbimed.com/"
"0000947996","Olstein Funds","Robert Olstein","Olstein Capital Management, L.P.","","https://www.olsteinfunds.com/"
"0001750423","Henry James International Management","James O'Leary","Henry James International Management Inc.","","https://www.hj-intl.com/"
"0001422848","Capital Research Global Investors","Mike Gitlin","Capital Research Global Investors","","https://www.capitalgroup.com/"
"0001744347","Vident Advisory","Vince Birley","Vident Advisory, LLC","","https://videntam.com/"
"0001659380","Sender Company & Partners","Adam Sender","Sender Co & Partners, Inc.","","https://www.sendercompany.com/"
"0001901929","Trevian Wealth Management","Phil Swisher","Trevian Wealth Management LLC","","https://www.trevianwealth.com/"
"0001119032","Harvey Capital Management","Robert Harvey","Harvey Capital Management Inc","","https://harveycapital.com/"
"0001841015","Rutherford Investment Management","William Rutherford","WD Rutherford LLC","","https://rutherfordinvestment.com/"
"0001269950","Deltec Asset Management","Arthur Byrnes & John Gordon","Deltec Asset Management LLC","","https://www.deltec-ny.com/"
"0002040901","Financially Speaking","Phil Luccock","Financially Speaking Inc","","https://financiallyspeakinginc.com/"
"0000844150","NatWest Group","Paul Thwaite","Natwest Group PLC","","https://www.natwestgroup.com/"
"0001728278","One Madison Group","Omar Asali","One Madison Group LLC","","https://www.onemadisongroup.com/"
"0001068837","Voya Investment Management","Matthew Toms","Voya Investment Management LLC","","https://investments.voya.com/"
"0001660773","Amansa Capital","Akash Prakash","Amansa Capital Pte. Ltd.","","https://www.amansacapital.com/"
"0002059321","PKO TFI","Rafał Madej","PKO Investment Management Joint-Stock Co","","https://www.pkotfi.pl/"
